#,Component,Qty,Source,Price (₹),Approx. Price (USD)
1,Raspberry Pi Zero 2 W,1,Silverline electronics.in,"₹1500",$18
2,MG995 Metal‑Gear Servo Motor (180°),3,Robocraze.in,"₹550 × 3 = ₹1,650",$20
3,PCA9685 16‑Channel PWM Servo Driver Module,1,Shaarvi Electronics,₹720,$8.70
4,Raspberry Pi 5 MP Camera Module (OV5647),1,Amazon.in,₹339,$4.10
5,CSI Camera Ribbon Cable (200 mm),1,Amazon.in,₹120,$1.45
6,5 V DC Power Adapter 2–3 A,1,Amazon.in,₹350,$4.20
7,Female Barrel Jack Connector,1,Robocraze.in,₹40,$0.48
8,"Jumper Wire Set (F‑F, F‑M)",1,Robocraze.in,₹50,$0.60
9,Mechanical Hardware: Ball‑joints & Bearings,3,Amazon.in,₹300,$3.60
,,,,"Total Estimated Cost INR: ₹5330",Total Estimated Cost USD: $61.13
